product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,product_type,id,mean_of_ratings
"AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Feet, Black)",Computers&Accessories,179.0,500.0,64%,4.2,92.595,USBCables,51,Good
"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad (6-Ft, Rose Gold)",Computers&Accessories,799.0,2.1,62%,4.3,8.188,USBCables,52,Good
VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),Electronics,6.999,12.999,46%,4.2,4.003,StandardTelevisions,53,Good
"Ambrane Unbreakable 3A Fast Charging Braided Type C Cable    1.5 Meter (RCT15, Blue) Supports QC 2.0/3.0 Charging",Computers&Accessories,199.0,349.0,43%,4.1,314.0,USBCables,54,Good
Tata Sky Universal Remote,Electronics,230.0,499.0,54%,3.7,2.96,RemoteControls,55,Average
"TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.9-10.15 and Linux, WPS, Soft AP Mode, USB 2.0) (TL-WN823N),Black",Computers&Accessories,649.0,1.399,54%,4.2,1.79,WirelessUSBAdapters,56,Good
OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black),Electronics,15.999,21.999,27%,4.2,34.899,SmartTelevisions,57,Good
"Wecool Unbreakable 3 in 1 Charging Cable with 3A Speed, Fast Charging Multi Purpose Cable 1.25 Mtr Long, Type C cable, Micro Usb Cable and Cable for iPhone, White",Computers&Accessories,348.0,1.499,77%,4.2,656.0,USBCables,58,Good
"Portronics Konnect L 1.2Mtr, Fast Charging 3A Micro USB Cable with Charge & Sync Function (Grey)",Computers&Accessories,154.0,349.0,56%,4.3,7.064,USBCables,59,Good
"Airtel DigitalTV DTH Television, Setup Box Remote Compatible for SD and HD Recording (Black)",Electronics,179.0,799.0,78%,3.7,2.201,RemoteControls,60,Average
Samsung 108 cm (43 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA43AUE65AKXXL (Black),Electronics,32.99,47.9,31%,4.3,7.109,SmartTelevisions,61,Good
